x_m,y_m
265.675916,22.675043
265.297999,22.297125
264.920082,22.297125
264.542164,22.297125
264.164247,22.297125
263.786330,22.297125
263.408412,22.297125
263.030495,22.297125
262.652577,22.297125
262.274660,22.297125
261.896743,22.297125
261.518825,22.297125
261.140908,22.297125
260.762990,22.297125
260.385073,22.297125
260.007156,22.297125
259.629238,22.297125
259.251321,22.297125
258.873404,22.675043
258.495486,22.675043
258.117569,22.675043
257.739651,22.675043
257.361734,22.675043
256.983817,22.675043
256.605899,22.675043
256.227982,22.675043
255.850065,22.675043
255.472147,23.052960
255.094230,23.052960
254.716312,23.052960
254.338395,23.052960
253.960478,23.052960
253.582560,23.052960
253.204643,23.052960
252.826726,23.052960
252.448808,23.052960
252.070891,23.052960
251.692973,23.052960
251.315056,23.052960
250.937139,23.052960
250.559221,23.052960
250.181304,23.052960
249.803387,23.052960
249.425469,22.675043
249.047552,22.675043
248.669634,22.675043
248.291717,22.675043
247.913800,22.297125
247.535882,22.297125
247.157965,22.297125
246.780048,21.919208
246.402130,21.919208
246.024213,21.919208
245.646295,21.541291
245.268378,21.541291
244.890461,21.541291
244.512543,21.163373
244.134626,21.163373
243.756708,21.163373
243.378791,20.785456
243.000874,20.785456
242.622956,20.785456
242.245039,20.785456
241.867122,20.407538
241.489204,20.407538
241.111287,20.407538
240.733369,20.029621
240.355452,20.029621
239.977535,20.029621
239.599617,20.029621
239.221700,19.651704
238.843783,19.651704
238.465865,19.651704
238.087948,19.651704
237.710030,19.651704
237.332113,19.651704
236.954196,19.651704
236.576278,19.651704
236.198361,19.651704
235.820444,19.651704
235.442526,20.029621
235.064609,20.029621
234.686691,20.029621
234.308774,20.407538
233.930857,20.407538
233.552939,20.785456
233.175022,20.785456
232.797105,20.785456
232.419187,20.785456
232.041270,20.785456
231.663352,20.785456
231.285435,20.785456
230.907518,20.785456
230.529600,20.785456
230.151683,20.785456
229.773766,20.785456
229.395848,20.407538
229.017931,20.029621
228.640013,20.029621
228.262096,19.651704
227.884179,19.651704
227.506261,19.273786
227.128344,19.273786
226.750427,18.895869
226.372509,18.895869
225.994592,18.895869
225.616674,18.895869
225.238757,18.895869
224.860840,18.895869
224.482922,18.517951
224.105005,18.517951
223.727087,18.895869
223.349170,18.895869
222.971253,18.895869
222.593335,18.895869
222.215418,18.895869
221.837501,18.895869
221.459583,18.895869
221.081666,18.895869
220.703748,19.273786
220.325831,19.273786
219.947914,19.273786
219.569996,19.273786
219.192079,19.273786
218.814162,19.651704
218.436244,19.651704
218.058327,19.651704
217.680409,20.029621
217.302492,20.029621
216.924575,20.029621
216.546657,20.029621
216.168740,20.407538
215.790823,20.407538
215.412905,20.407538
215.034988,20.785456
214.657070,20.785456
214.279153,20.785456
213.901236,21.163373
213.523318,21.163373
213.145401,21.541291
212.767484,21.919208
212.389566,21.919208
212.011649,22.297125
211.633731,22.297125
211.255814,22.675043
210.877897,22.675043
210.499979,22.675043
210.122062,23.052960
209.744145,23.052960
209.366227,23.430877
208.988310,23.430877
208.610392,23.430877
208.232475,23.808795
207.854558,23.808795
207.476640,23.808795
207.098723,24.186712
206.720805,24.186712
206.342888,24.186712
205.964971,24.186712
205.587053,24.564630
205.209136,24.564630
204.831219,24.564630
204.453301,24.564630
204.075384,24.942547
203.697466,24.942547
203.319549,24.942547
202.941632,24.942547
202.563714,24.942547
202.185797,24.942547
201.807880,25.320464
201.429962,25.320464
201.052045,25.320464
200.674127,25.320464
200.296210,25.320464
199.918293,25.320464
199.540375,25.320464
199.162458,25.698382
198.784541,25.698382
198.406623,25.698382
198.028706,25.698382
197.650788,25.698382
197.272871,25.698382
196.894954,25.698382
196.517036,25.698382
196.139119,25.698382
195.761202,25.698382
195.383284,25.698382
195.005367,25.698382
194.627449,25.698382
194.249532,25.698382
193.871615,25.698382
193.493697,25.698382
193.115780,25.698382
192.737863,25.698382
192.359945,25.698382
191.982028,25.320464
191.604110,25.320464
191.226193,25.320464
190.848276,25.320464
190.470358,25.320464
190.092441,24.942547
189.714524,24.942547
189.336606,24.942547
188.958689,24.942547
188.580771,24.942547
188.202854,24.564630
187.824937,24.564630
187.447019,24.564630
187.069102,24.564630
186.691184,24.186712
186.313267,24.186712
185.935350,24.186712
185.557432,24.186712
185.179515,23.808795
184.801598,23.808795
184.423680,23.808795
184.045763,23.808795
183.667845,23.430877
183.289928,23.430877
182.912011,23.430877
182.534093,23.430877
182.156176,23.430877
181.778259,23.052960
181.400341,23.052960
181.022424,23.052960
180.644506,23.052960
180.266589,23.052960
179.888672,23.052960
179.510754,23.052960
179.132837,23.052960
178.754920,23.052960
178.377002,23.052960
177.999085,23.052960
177.621167,22.675043
177.621167,22.297125
177.621167,21.919208
177.621167,21.541291
177.621167,21.163373
177.243250,20.785456
177.243250,20.407538
177.243250,20.785456
177.621167,21.163373
177.621167,21.541291
177.621167,21.919208
177.621167,22.297125
177.243250,22.675043
177.243250,23.052960
176.865333,23.430877
176.487415,23.430877
176.109498,23.430877
175.731581,23.808795
175.353663,23.808795
174.975746,24.186712
174.597828,24.564630
174.219911,24.564630
173.841994,24.942547
173.464076,25.320464
173.086159,25.698382
172.708242,26.076299
172.330324,26.454216
171.952407,26.832134
171.952407,27.210051
171.574489,27.587969
171.574489,27.965886
171.574489,28.343803
171.196572,28.721721
171.196572,29.099638
171.196572,29.477555
171.196572,29.855473
171.196572,30.233390
171.196572,30.611308
171.196572,30.989225
171.196572,31.367142
171.196572,31.745060
171.196572,32.122977
171.196572,32.500894
171.196572,32.878812
171.196572,33.256729
170.818655,33.634647
170.818655,34.012564
170.440737,34.390481
170.062820,34.768399
169.684903,35.146316
169.306985,35.524233
168.929068,35.902151
168.551150,35.902151
168.173233,36.280068
167.795316,36.280068
167.417398,36.657986
167.039481,36.657986
166.661563,37.035903
166.283646,37.035903
165.905729,37.413820
165.527811,37.791738
165.149894,38.169655
164.771977,38.547573
164.394059,38.925490
164.394059,39.303407
164.394059,39.681325
164.394059,40.059242
164.394059,40.437159
164.394059,40.815077
164.394059,41.192994
164.394059,41.570912
164.394059,41.948829
164.394059,42.326746
164.394059,42.704664
164.394059,43.082581
164.394059,43.460498
164.016142,43.838416
163.638224,44.216333
163.260307,44.594251
162.882390,44.972168
162.504472,44.972168
162.126555,45.350085
161.748638,45.728003
161.370720,45.728003
160.992803,46.105920
160.614885,46.105920
160.236968,46.105920
159.859051,46.483837
159.481133,46.483837
159.103216,46.861755
158.725299,47.239672
158.347381,47.617590
158.347381,47.995507
157.969464,48.373424
157.969464,48.751342
157.969464,49.129259
157.591546,49.507176
157.591546,49.885094
157.591546,50.263011
157.591546,50.640929
157.591546,51.018846
157.591546,51.396763
157.591546,51.774681
157.213629,52.152598
157.213629,52.530515
156.835712,52.908433
156.457794,53.286350
156.079877,53.664268
155.701960,54.042185
155.324042,54.042185
154.946125,54.420102
154.568207,54.420102
154.190290,54.798020
153.812373,54.798020
153.434455,55.175937
153.056538,55.175937
152.678621,55.553854
152.300703,55.553854
151.922786,55.931772
151.544868,56.309689
151.544868,56.687607
151.166951,57.065524
151.166951,57.443441
151.166951,57.821359
151.166951,58.199276
151.166951,58.577194
150.789034,58.955111
150.789034,59.333028
150.789034,59.710946
150.789034,60.088863
150.789034,60.466780
150.789034,60.844698
150.411116,61.222615
150.411116,61.600533
150.033199,61.978450
150.033199,62.356367
150.033199,62.734285
149.655281,63.112202
149.277364,63.112202
148.899447,63.112202
148.521529,63.490119
148.143612,63.868037
147.765695,63.868037
147.387777,64.245954
147.009860,64.245954
146.631942,64.623872
146.254025,64.623872
145.876108,64.623872
145.498190,65.001789
145.120273,65.001789
144.742356,65.379706
144.364438,65.379706
143.986521,65.379706
143.608603,65.757624
143.230686,65.757624
142.852769,65.757624
142.474851,66.135541
142.096934,66.135541
141.719017,66.135541
141.341099,66.513458
140.963182,66.513458
140.585264,66.513458
140.207347,66.891376
139.829430,66.891376
139.451512,66.891376
139.073595,67.269293
138.695678,67.269293
138.317760,67.647211
137.939843,67.647211
137.561925,68.025128
137.184008,68.025128
136.806091,68.403045
136.428173,68.403045
136.050256,68.780963
135.672339,68.780963
135.294421,69.158880
134.916504,69.536797
134.538586,69.914715
134.160669,70.292632
133.782752,70.670550
133.404834,71.048467
133.026917,71.426384
132.649000,71.804302
132.271082,72.182219
131.893165,72.560136
131.515247,72.938054
131.137330,73.315971
130.759413,73.315971
130.381495,73.315971
130.003578,73.315971
129.625660,73.315971
129.247743,73.693889
128.869826,73.315971
128.491908,73.315971
128.113991,73.315971
127.736074,73.315971
127.358156,73.315971
126.980239,73.315971
126.602321,72.938054
126.224404,72.938054
125.846487,72.560136
125.468569,72.182219
125.090652,72.182219
124.712735,71.804302
124.334817,71.426384
123.956900,71.048467
123.578982,71.048467
123.201065,70.670550
122.823148,70.292632
122.445230,69.914715
122.067313,69.536797
121.689396,69.158880
121.311478,68.780963
120.933561,68.403045
120.555643,68.025128
120.177726,67.647211
